id,speed,travel_time,status,data_as_of,link_id,link_points,encoded_poly_line,encoded_poly_line_lvls,owner,transcom_id,borough,link_name
377,45.98,85,0,2022-10-26T05:53:13.000,4616195,"40.61486,-74.15738 40.60931,-74.15012 40.60846,-74.14847 40.6079,-74.146831 40.60764,-74.14555 40.6074906,-74.14404 40.60757,-74.1409",{q{vFrzrcMta@kl@hDiInBiIr@}F\mHOsR,BBBBBBB,NYC_DOT_LIC,4616195,Staten Island,SIE E RICHMOND AVENUE - WOOLEY AVENUE
377,46.60,83,0,2022-10-26T05:48:12.000,4616195,"40.61486,-74.15738 40.60931,-74.15012 40.60846,-74.14847 40.6079,-74.146831 40.60764,-74.14555 40.6074906,-74.14404 40.60757,-74.1409",{q{vFrzrcMta@kl@hDiInBiIr@}F\mHOsR,BBBBBBB,NYC_DOT_LIC,4616195,Staten Island,SIE E RICHMOND AVENUE - WOOLEY AVENUE
377,46.60,84,0,2022-10-26T05:43:13.000,4616195,"40.61486,-74.15738 40.60931,-74.15012 40.60846,-74.14847 40.6079,-74.146831 40.60764,-74.14555 40.6074906,-74.14404 40.60757,-74.1409",{q{vFrzrcMta@kl@hDiInBiIr@}F\mHOsR,BBBBBBB,NYC_DOT_LIC,4616195,Staten Island,SIE E RICHMOND AVENUE - WOOLEY AVENUE
377,52.19,75,0,2022-10-26T05:38:14.000,4616195,"40.61486,-74.15738 40.60931,-74.15012 40.60846,-74.14847 40.6079,-74.146831 40.60764,-74.14555 40.6074906,-74.14404 40.60757,-74.1409",{q{vFrzrcMta@kl@hDiInBiIr@}F\mHOsR,BBBBBBB,NYC_DOT_LIC,4616195,Staten Island,SIE E RICHMOND AVENUE - WOOLEY AVENUE
377,50.95,77,0,2022-10-26T05:33:13.000,4616195,"40.61486,-74.15738 40.60931,-74.15012 40.60846,-74.14847 40.6079,-74.146831 40.60764,-74.14555 40.6074906,-74.14404 40.60757,-74.1409",{q{vFrzrcMta@kl@hDiInBiIr@}F\mHOsR,BBBBBBB,NYC_DOT_LIC,4616195,Staten Island,SIE E RICHMOND AVENUE - WOOLEY AVENUE
377,52.81,74,0,2022-10-26T05:28:13.000,4616195,"40.61486,-74.15738 40.60931,-74.15012 40.60846,-74.14847 40.6079,-74.146831 40.60764,-74.14555 40.6074906,-74.14404 40.60757,-74.1409",{q{vFrzrcMta@kl@hDiInBiIr@}F\mHOsR,BBBBBBB,NYC_DOT_LIC,4616195,Staten Island,SIE E RICHMOND AVENUE - WOOLEY AVENUE
377,54.05,72,0,2022-10-26T05:23:11.000,4616195,"40.61486,-74.15738 40.60931,-74.15012 40.60846,-74.14847 40.6079,-74.146831 40.60764,-74.14555 40.6074906,-74.14404 40.60757,-74.1409",{q{vFrzrcMta@kl@hDiInBiIr@}F\mHOsR,BBBBBBB,NYC_DOT_LIC,4616195,Staten Island,SIE E RICHMOND AVENUE - WOOLEY AVENUE
377,54.68,71,0,2022-10-26T05:18:13.000,4616195,"40.61486,-74.15738 40.60931,-74.15012 40.60846,-74.14847 40.6079,-74.146831 40.60764,-74.14555 40.6074906,-74.14404 40.60757,-74.1409",{q{vFrzrcMta@kl@hDiInBiIr@}F\mHOsR,BBBBBBB,NYC_DOT_LIC,4616195,Staten Island,SIE E RICHMOND AVENUE - WOOLEY AVENUE
377,54.68,72,0,2022-10-26T05:13:13.000,4616195,"40.61486,-74.15738 40.60931,-74.15012 40.60846,-74.14847 40.6079,-74.146831 40.60764,-74.14555 40.6074906,-74.14404 40.60757,-74.1409",{q{vFrzrcMta@kl@hDiInBiIr@}F\mHOsR,BBBBBBB,NYC_DOT_LIC,4616195,Staten Island,SIE E RICHMOND AVENUE - WOOLEY AVENUE
377,57.16,69,0,2022-10-26T05:08:13.000,4616195,"40.61486,-74.15738 40.60931,-74.15012 40.60846,-74.14847 40.6079,-74.146831 40.60764,-74.14555 40.6074906,-74.14404 40.60757,-74.1409",{q{vFrzrcMta@kl@hDiInBiIr@}F\mHOsR,BBBBBBB,NYC_DOT_LIC,4616195,Staten Island,SIE E RICHMOND AVENUE - WOOLEY AVENUE
377,56.54,69,0,2022-10-26T05:03:14.000,4616195,"40.61486,-74.15738 40.60931,-74.15012 40.60846,-74.14847 40.6079,-74.146831 40.60764,-74.14555 40.6074906,-74.14404 40.60757,-74.1409",{q{vFrzrcMta@kl@hDiInBiIr@}F\mHOsR,BBBBBBB,NYC_DOT_LIC,4616195,Staten Island,SIE E RICHMOND AVENUE - WOOLEY AVENUE
377,57.16,68,0,2022-10-26T04:58:12.000,4616195,"40.61486,-74.15738 40.60931,-74.15012 40.60846,-74.14847 40.6079,-74.146831 40.60764,-74.14555 40.6074906,-74.14404 40.60757,-74.1409",{q{vFrzrcMta@kl@hDiInBiIr@}F\mHOsR,BBBBBBB,NYC_DOT_LIC,4616195,Staten Island,SIE E RICHMOND AVENUE - WOOLEY AVENUE
377,56.54,69,0,2022-10-26T04:53:13.000,4616195,"40.61486,-74.15738 40.60931,-74.15012 40.60846,-74.14847 40.6079,-74.146831 40.60764,-74.14555 40.6074906,-74.14404 40.60757,-74.1409",{q{vFrzrcMta@kl@hDiInBiIr@}F\mHOsR,BBBBBBB,NYC_DOT_LIC,4616195,Staten Island,SIE E RICHMOND AVENUE - WOOLEY AVENUE
